Exception_ID,Job_ID,Domain,Source_Filename,Source_Row_Index,Source_Column_Name,Canonical_Table,Canonical_Column,Raw_Value,Exception_Type,Reason,Insert_Timestamp
5a41a2f0-cfaf-49ef-b264-bc8f964050ff,b810c70f-3072-4ad6-ab09-086b24df9571,trade,sample_invoices.csv,5.0,Account Number,TRD_CUSTOMER,Account_Number,,MANDATORY_NULL,Account_Number is mandatory and is null in this record,2026-03-12T13:04:31.895005+00:00
fd8144d1-e426-4356-931a-38fa77fe7147,b810c70f-3072-4ad6-ab09-086b24df9571,trade,sample_invoices.csv,5.0,Account Number,TRD_INVOICE,Account_Number,,MANDATORY_NULL,Account_Number is mandatory and is null in this record,2026-03-12T13:04:31.905348+00:00
2f11be58-7722-4a8a-b846-039de8487d1d,b810c70f-3072-4ad6-ab09-086b24df9571,trade,sample_invoices.csv,4.0,Due_Date,TRD_INVOICE,Due_Date,2025-01-15 00:00:00,BUSINESS_RULE_FAIL,[INV_DUE_GE_INV_DATE] Due_Date '2025-01-15 00:00:00' is before Invoice_Date '2025-02-01 00:00:00',2026-03-12T13:04:31.956845+00:00
caf0aeee-5918-4bcd-bb70-6c433f5e12f8,b810c70f-3072-4ad6-ab09-086b24df9571,trade,confidence_spread_test.csv,,Pay Date,TRD_INVOICE,Due_Date,,LOW_CONFIDENCE_MAPPING,Source column 'Pay Date' mapped to TRD_INVOICE.Due_Date with confidence 76 (threshold 80),2026-03-12T13:04:32.150649+00:00
1a53a939-a182-4d23-b6fa-26cb75d9c874,b810c70f-3072-4ad6-ab09-086b24df9571,trade,confidence_spread_test.csv,,Billing Amount,TRD_INVOICE,Invoice_Amount,,LOW_CONFIDENCE_MAPPING,Source column 'Billing Amount' mapped to TRD_INVOICE.Invoice_Amount with confidence 74 (threshold 80),2026-03-12T13:04:32.150649+00:00
75d54a65-34e1-41f2-b2cb-8daa27816f18,b810c70f-3072-4ad6-ab09-086b24df9571,trade,confidence_spread_test.csv,,Client Code,TRD_CUSTOMER,Account_Number,,LOW_CONFIDENCE_MAPPING,Source column 'Client Code' mapped to TRD_CUSTOMER.Account_Number with confidence 72 (threshold 80),2026-03-12T13:04:32.150649+00:00
fa2d1ca5-8945-4976-aef1-71851c1f04e2,b810c70f-3072-4ad6-ab09-086b24df9571,trade,confidence_spread_test.csv,,Account Ref,TRD_CUSTOMER,Account_Number,,LOW_CONFIDENCE_MAPPING,Source column 'Account Ref' mapped to TRD_CUSTOMER.Account_Number with confidence 69 (threshold 80),2026-03-12T13:04:32.150649+00:00
dd417ef9-8ab4-4a33-8016-ea9bf52d451c,b810c70f-3072-4ad6-ab09-086b24df9571,trade,confidence_spread_test.csv,,Trans Date,TRD_INVOICE,DOE,,LOW_CONFIDENCE_MAPPING,Source column 'Trans Date' mapped to TRD_INVOICE.DOE with confidence 67 (threshold 80),2026-03-12T13:04:32.150649+00:00
6fbaae8b-4b0a-4a44-861c-7dafe06ab1e4,b810c70f-3072-4ad6-ab09-086b24df9571,trade,confidence_spread_test.csv,,Remittance Amount,TRD_INVOICE,Invoice_Amount,,LOW_CONFIDENCE_MAPPING,Source column 'Remittance Amount' mapped to TRD_INVOICE.Invoice_Amount with confidence 64 (threshold 80),2026-03-12T13:04:32.150649+00:00
