Archive_Lineage_ID,Job_ID,Source_Filename,Parent_Archive,Root_Archive,Archive_Entry_Name,Extracted_Path,Nested_Level,File_Size_Bytes,Extraction_Status,Insert_Timestamp
54a2aed4-c33e-4de2-96b1-8a43fac69c69,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade_invoices_A_25.csv,trade_batch_25.zip,trade_batch_25.zip,trade_invoices_A_25.csv,C:\Users\91917\AppData\Local\Temp\tmpptp44kx1\trade_invoices_A_25.csv,1,2651,SUCCESS,2026-03-12T13:43:39.325341+00:00
b2ef5082-b212-4a14-b35d-c3109a957ea0,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade_invoices_B_25.csv,trade_batch_25.zip,trade_batch_25.zip,subdir/trade_invoices_B_25.csv,C:\Users\91917\AppData\Local\Temp\tmpptp44kx1\subdir\trade_invoices_B_25.csv,1,2927,SUCCESS,2026-03-12T13:43:39.325341+00:00
dab67bce-22d3-4698-86b6-1934fba22ca2,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,setup.exe,trade_batch_25.zip,trade_batch_25.zip,setup.exe,C:\Users\91917\AppData\Local\Temp\tmpptp44kx1\setup.exe,1,54,BLOCKED_EXTENSION,2026-03-12T13:43:39.325341+00:00
