Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
cee9e905-dc29-45b3-8d85-3dd4a8a3e541,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,buyer_ref,buyer_ref,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,buyer_ref,,2026-03-08T12:09:58.793220+00:00
f984fa2f-688f-4ad4-80b9-54a22f8a76c6,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,entity_name,entity_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,entity_name,,2026-03-08T12:09:58.793220+00:00
e514343c-4564-43c4-a97d-f48ab28435ea,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,tax_number,tax_number,TRD_CUSTOMER,Government_ID,EXACT LOOKUP,100,False,True,,tax_number,,2026-03-08T12:09:58.793220+00:00
5f6851e6-aa4a-4f2d-8c27-13351971c4f5,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,country_iso,country_iso,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country_iso,,2026-03-08T12:09:58.793220+00:00
dcc53fe3-5911-4523-b97a-04890deb5864,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,address1,address1,TRD_CUSTOMER,Address_1,EXACT LOOKUP,100,False,True,,address1,,2026-03-08T12:09:58.793220+00:00
7d57977d-11f9-46e3-ae22-a22365eaad9d,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,address2,address2,TRD_CUSTOMER,Address_2,EXACT LOOKUP,100,False,True,,address2,,2026-03-08T12:09:58.793220+00:00
c76f8ea6-a9b8-40fd-a4f1-90fd0661fe4b,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,city_nm,city_nm,TRD_CUSTOMER,City,EXACT LOOKUP,100,False,True,,city_nm,,2026-03-08T12:09:58.793220+00:00
61b82583-e867-4368-a5db-5f4e8b9d940a,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,county,county,TRD_CUSTOMER,State,EXACT LOOKUP,100,False,True,,county,,2026-03-08T12:09:58.793220+00:00
eec8f2d4-25dd-4f0d-8e83-ff172b51bbb6,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,pin_code,pin_code,TRD_CUSTOMER,Postcode,EXACT LOOKUP,100,False,True,,pin_code,,2026-03-08T12:09:58.793220+00:00
81546224-c02f-4389-ab0d-bc8f2da04e58,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,invoice_id,invoice_id,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_id,,2026-03-08T12:09:58.793220+00:00
3c834437-deb5-42b9-b943-a2abc4ad9df0,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,invoice_dt,invoice_dt,TRD_INVOICE,Invoice_Date,EXACT LOOKUP,100,True,True,,invoice_dt,,2026-03-08T12:09:58.793220+00:00
65b6e65a-c669-4c73-95f3-a9da904be791,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,due_dt,due_dt,TRD_INVOICE,Due_Date,EXACT LOOKUP,100,True,True,,due_dt,,2026-03-08T12:09:58.793220+00:00
f2ad765a-6c50-45ca-bfd8-c03f34b8fc5b,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,orig_amt,orig_amt,TRD_INVOICE,Invoice_Amount,EXACT LOOKUP,100,True,True,,orig_amt,,2026-03-08T12:09:58.793220+00:00
f9d662c3-2e08-4546-8552-6f673ac0952e,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,paid_amt,paid_amt,TRD_INVOICE,Paid_Amount,EXACT LOOKUP,100,False,True,,paid_amt,,2026-03-08T12:09:58.793220+00:00
c68264ef-0240-42a1-bafe-510edfe57f8c,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,paiddate,paiddate,TRD_INVOICE,Paid_Date,EXACT LOOKUP,100,False,True,,paiddate,,2026-03-08T12:09:58.793220+00:00
374d6338-fa4f-4cdb-906c-8bb1615094bc,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,pay_terms,pay_terms,TRD_INVOICE,Payment_Terms,EXACT LOOKUP,100,True,True,,pay_terms,,2026-03-08T12:09:58.793220+00:00
c9ca6ddc-457d-44e9-b25d-67a69b1313d6,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,currency_code,currency_code,TRD_INVOICE,Currency,EXACT LOOKUP,100,False,True,,currency_code,,2026-03-08T12:09:58.793220+00:00
a71df963-664d-4161-a507-9bc1d141b202,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,as_of_date,as_of_date,TRD_INVOICE,DOE,EXACT LOOKUP,100,True,True,,as_of_date,,2026-03-08T12:09:58.793220+00:00
00700055-6998-4ee4-aa7f-6cae33762e2d,c6ccbbbd-9125-439b-945c-a8ac738d5763,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,trade,trade_contrib_05_json.json,buyer_ref,buyer_ref,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,,,2026-03-08T12:09:58.793220+00:00
